Assessment Name,Detail URL,Remote Testing,Adaptive/IRT,Test Type,Detail Title,Description,Job Levels,Detail Test Type,Downloads
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,S,Accounts Receivable Simulation (New),Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Accounts Receivable Simulation (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Accounts Receivable Simulation (New) Sample Report.pdf', 'language': 'English (USA)'}]"
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,No,K,ADO.NET (New),"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/ADO.NET (New).pdf', 'language': 'English (USA)'}]"
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,K,Adobe Experience Manager (New),"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Adobe Experience Manager (New).pdf', 'language': 'English (USA)'}]"
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,K,Adobe Photoshop CC,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact_Sheet-adobe_photoshop_cc.pdf', 'language': 'English (USA)'}]"
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,K,Aeronautical Engineering (New),"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Aeronautical Engineering (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/SHL Aeronautical Engineering (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,K,Aerospace Engineering (New),"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Aerospace Engineering (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/SHL Aerospace Engineering (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,K,Agile Software Development,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,",N/A,"[{'title': 'Sample Report', 'link': 'https://service.shl.com/docs/sample_report.pdf', 'language': 'English (USA)'}, {'title': 'Factsheet', 'link': 'https://service.shl.com/docs/Agile Software Development_Factsheet.pdf', 'language': 'English (USA)'}]"
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,K,Agile Testing (New),"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Agile Testing (New).pdf', 'language': 'English (USA)'}]"
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,P,AI Skills,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,",N/A,"[{'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Sample_Candidate_sample.candidate@shl931.com_AISkillsCandidateReport_1572760.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Sample_Candidate_sample.candidate@shl931.com_AISkillsRecruiterReport_1572760.pdf', 'language': 'English (USA)'}]"
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,K,Amazon Web Services (AWS) Development (New),"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Amazon Web Services (AWS) Development (New).pdf', 'language': 'English (USA)'}]"
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,K,Android Development (New),"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Android Development (New).pdf', 'language': 'English (USA)'}]"
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,K,Angular 6 (New),"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Angular 6 (New).pdf', 'language': 'English (USA)'}]"
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,K,AngularJS (New),"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/AngularJS (New).pdf', 'language': 'English (USA)'}]"
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,K,Apache Hadoop (New),"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache Hadoop (New).pdf', 'language': 'English (USA)'}]"
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,K,Apache Hadoop Extensions (New),"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache Hadoop Extensions (New).pdf', 'language': 'English (USA)'}]"
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,K,Apache HBase (New),"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache HBase (New).pdf', 'language': 'English (USA)'}]"
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,K,Apache Hive (New),"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache Hive (New).pdf', 'language': 'English (USA)'}]"
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,K,Apache Kafka (New),"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache Kafka (New).pdf', 'language': 'English (USA)'}]"
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,K,Apache Pig (New),"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache Pig (New).pdf', 'language': 'English (USA)'}]"
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,K,Apache Spark (New),"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Apache Spark (New).pdf', 'language': 'English (USA)'}]"
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,K,ASP .NET with C# (New),"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/ASP.NET with C Sharp (New).pdf', 'language': 'English (USA)'}]"
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,K,ASP.NET 4.5,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact_Sheet-asp.net_4.5.pdf', 'language': 'English (USA)'}]"
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,E,Assessment and Development Center Exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,",N/A,[]
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,S,Automata - Fix (New),"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata Fix.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Fix Sample Report.pdf', 'language': 'English (USA)'}]"
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,S,Automata - SQL (New),"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata - SQL.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata SQL Sample Report.pdf', 'language': 'English (USA)'}]"
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,Yes,No,S,Automata (New),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Sample Detailed Report.pdf', 'language': 'English (USA)'}]"
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,S,Automata Data Science (New),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata Data Science.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Data Science Sample Report.pdf', 'language': 'English (USA)'}]"
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,S,Automata Data Science Pro (New),A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Professional Individual Contributor, Mid-Professional,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata Data Science Pro.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Data Science Pro Sample Report.pdf', 'language': 'English (USA)'}]"
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,Yes,No,S,Automata Front End,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata Frontend.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Front End Sample Detailed Report.pdf', 'language': 'English (USA)'}]"
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,Yes,No,S,Automata Pro (New),"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata Pro.pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Pro Sample Report.pdf', 'language': 'English (USA)'}]"
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Yes,No,S,Automata Selenium,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,"Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product fact sheet', 'link': 'https://service.shl.com/docs/Automata Selenium (1) (1).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/Automata Selenium Sample Report.pdf', 'language': 'English (USA)'}]"
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,K,Automation Anywhere RPA Development (New),"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Automation Anywhere RPA Development (New).pdf', 'language': 'English (USA)'}]"
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,Yes,No,K,Automotive Engineering (New),"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Automotive Engineering (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/SHL Automotive Engineering (New) Sample Report.pdf', 'language': 'English (USA)'}]"
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,Yes,No,K,Basic Biology (New),Multi choice test that measures the candidate's basic understanding of Biology.,"Professional Individual Contributor, Graduate, Mid-Professional,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Basic Biology (New).pdf', 'language': 'English (USA)'}]"
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,SK,Basic Computer Literacy (Windows 10) (New),"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","Entry-Level,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Basic Computer Literacy (Windows 10).pdf', 'language': 'English (USA)'}]"
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,K,Basic Statistics (New),"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Basic Statistics (New).pdf', 'language': 'English (USA)'}]"
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,K,Biochemistry (New),"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Biochemistry (New).pdf', 'language': 'English (USA)'}]"
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,K,Biotech Lab Techniques (New),"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.","Graduate, Professional Individual Contributor, Mid-Professional,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Biotech Lab Techniques (New).pdf', 'language': 'English (USA)'}]"
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,Yes,No,K,BizTalk (New),"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/BizTalk (New).pdf', 'language': 'English (USA)'}]"
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,K,Business Communication (adaptive),"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact Sheet_Business Communication (adaptive).pdf', 'language': 'English (USA)'}]"
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,K,Business Communications,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",N/A,N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Fact Sheet_Business_Communications.pdf', 'language': 'English (USA)'}]"
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,Yes,No,K,C Programming (New),"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/C Programming (New).pdf', 'language': 'English (USA)'}]"
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,K,C# Programming (New),"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.","Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Fact Sheet', 'link': 'https://service.shl.com/docs/Csharp Programming (New).pdf', 'language': 'English (USA)'}, {'title': 'Sample Report', 'link': 'https://service.shl.com/docs/C# Programming (New) Sample Report.pdf', 'language': 'English (USA)'}]"
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,K,C++ Programming (New),Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,"Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/C%2B%2B Programming (New).pdf', 'language': 'English (USA)'}]"
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,K,Cardiology and Diabetes Management (New),"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Cardiology and Diabetes Management (New).pdf', 'language': 'English (USA)'}]"
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,K,Ceramic Engineering (New),"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","Graduate, Mid-Professional, Professional Individual Contributor,",N/A,"[{'title': 'Product Fact Sheet', 'link': 'https://service.shl.com/docs/Ceramic Engineering (New).pdf', 'language': 'English (USA)'}]"
